종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스","4980","75","1.53","201","24.78","622","8.00","8076","0.62","270","5.42"
"006840","AK홀딩스","17100","100","0.59",,,,,"41948","0.41","200","1.17"
"027410","BGF","3810","15","0.40","247","15.43",,,"16528","0.23","110","2.89"
"282330","BGF리테일","131300","2600","2.02","11203","11.72","12683","10.35","55724","2.36","4100","3.12"
"138930","BNK금융지주","7140","60","0.85","2404","2.97","2450","2.91","30468","0.23","625","8.75"
"001460","BYC","426500","1500","0.35","42272","10.09",,,"617978","0.69","3000","0.70"
"001465","BYC우","142600","900","0.64",,,,,,,"3050","2.14"
"001040","CJ","94400","-800","-0.84","6023","15.67","10201","9.25","154565","0.61","2500","2.65"
"079160","CJ CGV","5780","80","1.40",,,,,"5510","1.05","0","0.00"
"00104K","CJ4우(전환)","70300","-900","-1.26",,,,,,,"2550","3.63"
"000120","CJ대한통운","127200","-1800","-1.40","8190","15.53","11472","11.09","179031","0.71","500","0.39"
"011150","CJ씨푸드","2940","-130","-4.23","205","14.34",,,"2095","1.40","0","0.00"
"011155","CJ씨푸드1우","21850","-800","-3.53",,,,,,,"0","0.00"
"001045","CJ우","51700","-100","-0.19",,,,,,,"2550","4.93"
"097950","CJ제일제당","324000","4000","1.25","37188","8.71","33761","9.60","421621","0.77","5500","1.70"
"097955","CJ제일제당 우","134100","300","0.22",,,,,,,"5550","4.14"
"000480","CR홀딩스","6460","40","0.62","1279","5.05",,,"21609","0.30","450","6.97"
"000590","CS홀딩스","61900","-1300","-2.06","12700","4.87",,,"242997","0.25","500","0.81"
"012030","DB","1733","48","2.85","30","57.77",,,"1492","1.16","0","0.00"
"016610","DB금융투자","3850","25","0.65",,,,,"22203","0.17","170","4.42"
"005830","DB손해보험","83700","1300","1.58","16373","5.11","23164","3.61","89508","0.94","4600","5.50"
"000990","DB하이텍","58600","1100","1.91","12858","4.56","7571","7.74","37695","1.55","1300","2.22"
"139130","DGB금융지주","8490","90","1.07","2266","3.75","2963","2.87","31812","0.27","650","7.66"
"001530","DI동일","29250","200","0.69","2750","10.64","696","42.01","30595","0.96","250","0.85"
"000210","DL","51400","300","0.59","2679","19.19","7359","6.98","179610","0.29","1000","1.95"
"001880","DL건설","12780","330","2.65","2445","5.23","3043","4.20","42856","0.30","250","1.96"
"000215","DL우","24750","150","0.61",,,,,,,"1050","4.24"
"375500","DL이앤씨","36050","150","0.42","10130","3.56","8582","4.20","103125","0.35","1000","2.77"
"37550L","DL이앤씨2우(전환)","23850","200","0.85",,,,,,,"1000","4.19"
"37550K","DL이앤씨우","18730","-60","-0.32",,,,,,,"1050","5.61"
"007340","DN오토모티브","73100","2800","3.98","20987","3.48",,,"101507","0.72","2500","3.42"
"004840","DRB동일","5850","-10","-0.17","80","73.13",,,"18971","0.31","40","0.68"
"155660","DSR","4320","0","0.00","1502","2.88",,,"12480","0.35","60","1.39"
"069730","DSR제강","4180","-60","-1.42","2009","2.08",,,"12715","0.33","60","1.44"
"017860","DS단석","289000","7000","2.48","3641","79.37","12124","23.84","28146","10.27","0","0.00"
"017940","E1","62300","700","1.14","24536","2.54","25714","2.42","249560","0.25","3600","5.78"
"383220","F&F","89200","1200","1.36","11571","7.71","13694","6.51","24159","3.69","1600","1.79"
"007700","F&F홀딩스","15630","10","0.06","3384","4.62",,,"52493","0.30","350","2.24"
"114090","GKL","13490","180","1.35",,,"1350","9.99","6183","2.18","0","0.00"
"078930","GS","40900","800","2.00","22634","1.81","15415","2.65","131382","0.31","2500","6.11"
"006360","GS건설","15020","20","0.13","3997","3.76","2557","5.87","56917","0.26","1300","8.66"
"001250","GS글로벌","2550","80","3.24","851","3.00",,,"4813","0.53","0","0.00"
"007070","GS리테일","23050","50","0.22","395","58.35","2680","8.60","39627","0.58","430","1.87"
"078935","GS우","34500","100","0.29",,,,,,,"2550","7.39"
"012630","HDC","6890","-110","-1.57",,,,,"44094","0.16","250","3.63"
"039570","HDC랩스","7450","110","1.50","538","13.85",,,"11339","0.66","450","6.04"
"089470","HDC현대EP","4560","85","1.90","398","11.46",,,"10618","0.43","120","2.63"
"294870","HDC현대산업개발","14600","160","1.11","764","19.11","2876","5.08","43919","0.33","600","4.11"
"009540","HD한국조선해양","120900","4100","3.51",,,"10842","11.15","137382","0.88","0","0.00"
"267250","HD현대","63300","2300","3.77","19933","3.18","11832","5.35","105921","0.60","4600","7.27"
"267270","HD현대건설기계","51700","700","1.37","6112","8.46","10243","5.05","80387","0.64","1750","3.38"
"322000","HD현대에너지솔루션","27950","400","1.45","5412","5.16","2607","10.72","34065","0.82","600","2.15"
"042670","HD현대인프라코어","8120","110","1.37","1163","6.98","1629","4.98","8273","0.98","240","2.96"
"267260","HD현대일렉트릭","82200","1800","2.24","4514","18.21","7209","11.40","22854","3.60","500","0.61"
"329180","HD현대중공업","129000","3500","2.79",,,"5295","24.36","59566","2.17","0","0.00"
"097230","HJ중공업","4450","125","2.89",,,,,"4624","0.96","0","0.00"
"014790","HL D&I","2055","-15","-0.72","300","6.85","701","2.93","9115","0.23","0","0.00"
"003580","HLB글로벌","5020","10","0.20",,,,,"1507","3.33","0","0.00"
"204320","HL만도","39350","1700","4.52","2096","18.77","5416","7.26","45998","0.86","500","1.27"
"060980","HL홀딩스","33300","350","1.06","314","106.05","10933","3.05","102608","0.32","2000","6.01"
"011200","HMM","19580","60","0.31","20556","0.95","930","21.05","42300","0.46","1200","6.13"
"082740","HSD엔진","9790","270","2.84",,,"581","16.85","3099","3.16","0","0.00"
"035000","HS애드","6230","50","0.81","1077","5.78",,,"10892","0.57","400","6.42"
"003560","IHQ","3585","0","0.00",,,,,"4335","0.83","0","0.00"
"175330","JB금융지주","11390","390","3.55","2996","3.80","3224","3.53","23551","0.48","835","7.33"
"234080","JW생명과학","12870","130","1.02","966","13.32","1497","8.60","9063","1.42","500","3.89"
"001060","JW중외제약","35550","-1550","-4.18","1305","27.24","2577","13.80","9750","3.65","375","1.05"
"001067","JW중외제약2우B","62100","0","0.00",,,,,,,"375","0.60"
"001065","JW중외제약우","33200","50","0.15",,,,,,,"400","1.20"
"096760","JW홀딩스","3490","-50","-1.41","307","11.37",,,"1484","2.35","100","2.87"
"105560","KB금융","54100","1800","3.44","10955","4.94","12870","4.20","124124","0.44","2950","5.45"
"002380","KCC","228500","4000","1.78","4564","50.07","17487","13.07","695902","0.33","8000","3.50"
"344820","KCC글라스","41050","450","1.11","5894","6.96",,,"90484","0.45","2400","5.85"
"009070","KCTC","3895","15","0.39","879","4.43",,,"8350","0.47","60","1.54"
"009440","KC그린홀딩스","3510","90","2.63",,,,,"7463","0.47","50","1.42"
"119650","KC코트렐","1587","-2","-0.13",,,,,"1562","1.02","0","0.00"
"092220","KEC","1557","20","1.30","140","11.12",,,"1912","0.81","60","3.85"
"003620","KG모빌리티","8680","130","1.52",,,,,"5846","1.48","0","0.00"
"016380","KG스틸","8900","70","0.79","5357","1.66","1682","5.29","16898","0.53","150","1.69"
"001390","KG케미칼","6850","110","1.63","4677","1.46",,,"11474","0.60","100","1.46"
"033180","KH 필룩스","1326","0","0.00",,,,,"7863","0.17","0","0.00"
"015590","KIB플러그에너지","780","20","2.63","49","15.92","47","16.63","475","1.64","0","0.00"
"001940","KISCO홀딩스","23800","500","2.15","5760","4.13",,,"75645","0.31","600","2.52"
"025000","KPX케미칼","43500","200","0.46","6015","7.23",,,"122776","0.35","2750","6.32"
"092230","KPX홀딩스","51300","500","0.98","2267","22.63",,,"210854","0.24","3000","5.85"
"000040","KR모터스","358","12","3.47",,,,,"345","1.04","0","0.00"
"044450","KSS해운","9250","-70","-0.75","2016","4.59",,,"17995","0.51","350","3.78"
"030200","KT","34400","900","2.69","5209","6.60","4939","6.96","64880","0.53","1960","5.70"
"033780","KT&G","86900","1200","1.40","8489","10.24","7019","12.38","80114","1.08","5000","5.75"
"058850","KTcs","3600","-15","-0.41","436","8.26",,,"4834","0.74","120","3.33"
"058860","KTis","3015","15","0.50","501","6.02",,,"6434","0.47","120","3.98"
"093050","LF","13270","20","0.15","5351","2.48","4292","3.09","51612","0.26","700","5.28"
"003550","LG","85900","2800","3.37","12422","6.92","11630","7.39","160957","0.53","3000","3.49"
"034220","LG디스플레이","12740","350","2.82",,,,,"27611","0.46","0","0.00"
"051900","LG생활건강","355000","4500","1.28","14112","25.16","18396","19.30","318648","1.11","4000","1.13"
"051905","LG생활건강우","158100","2500","1.61",,,,,,,"4050","2.56"
"373220","LG에너지솔루션","427500","6500","1.54","3306","129.31","11581","36.91","80052","5.34","0","0.00"
"003555","LG우","60700","200","0.33",,,,,,,"3050","5.02"
"032640","LG유플러스","10230","110","1.09","1543","6.63","1634","6.26","18996","0.54","650","6.35"
"011070","LG이노텍","239500","6500","2.79","41406","5.78","33326","7.19","180261","1.33","4150","1.73"
"066570","LG전자","101800","1800","1.80","6640","15.33","12367","8.23","105473","0.97","700","0.69"
"066575","LG전자우","45800","300","0.66",,,,,,,"750","1.64"
"037560","LG헬로비전","3420","20","0.59",,,"500","6.84","8077","0.42","120","3.51"
"051910","LG화학","499000","13000","2.67","23670","21.08","37510","13.30","401795","1.24","10000","2.00"
"051915","LG화학우","311000","2000","0.65",,,,,,,"10050","3.23"
"079550","LIG넥스원","130500","200","0.15","5641","23.13","8846","14.75","42909","3.04","1500","1.15"
"006260","LS","93200","2000","2.19","16306","5.72","13830","6.74","144965","0.64","1550","1.66"
"010120","LS ELECTRIC","73200","700","0.97","3077","23.79","7948","9.21","52919","1.38","1100","1.50"
"000680","LS네트웍스","4255","-10","-0.23",,,,,"7509","0.57","0","0.00"
"229640","LS전선아시아","20900","100","0.48",,,"424","49.24","4898","4.27","250","1.20"
"108320","LX세미콘","86800","-400","-0.46","14368","6.04","12119","7.16","58432","1.49","4500","5.18"
"001120","LX인터내셔널","29400","-100","-0.34","14325","2.05","7204","4.08","62867","0.47","3000","10.20"
"108670","LX하우시스","43600","850","1.99",,,"8452","5.16","78153","0.56","200","0.46"
"108675","LX하우시스우","20150","-850","-4.05",,,,,,,"250","1.24"
"383800","LX홀딩스","7050","20","0.28","2190","3.22","1659","4.25","20737","0.34","310","4.40"
"38380K","LX홀딩스1우","9650","120","1.26",,,,,,,"320","3.32"
"023150","MH에탄올","6830","-70","-1.01","766","8.92",,,"10227","0.67","250","3.66"
"035420","NAVER","224000","1000","0.45","5007","44.74","8660","25.87","151646","1.48","914","0.41"
"181710","NHN","23350","-50","-0.21",,,"2337","9.99","49179","0.47","0","0.00"
"005940","NH투자증권","10330","120","1.18","881","11.73","1719","6.01","20647","0.50","700","6.78"
"005945","NH투자증권우","9780","-20","-0.20",,,,,,,"750","7.67"
"034310","NICE","13180","-180","-1.35","1012","13.02",,,"21230","0.62","410","3.11"
"030190","NICE평가정보","9470","140","1.50","882","10.74","917","10.33","5732","1.65","370","3.91"
"008260","NI스틸","6000","100","1.69","1706","3.52",,,"6580","0.91","100","1.67"
"004250","NPC","5570","100","1.83","678","8.22",,,"8241","0.68","100","1.80"
"004255","NPC우","3070","20","0.66",,,,,,,"105","3.42"
"456040","OCI","111300","900","0.82",,,"4425","25.15",,,"0","0.00"
"010060","OCI홀딩스","106200","2100","2.02","36941","2.87","26060","4.08","166136","0.64","2500","2.35"
"178920","PI첨단소재","30500","-100","-0.33","1557","19.59","1095","27.85","11627","2.62","779","2.55"
"005490","POSCO홀딩스","499500","7000","1.42","41456","12.05","35175","14.20","692323","0.72","12000","2.40"
"010950","S-Oil","69600","700","1.02","18075","3.85","10562","6.59","72869","0.96","5500","7.90"
"010955","S-Oil우","49250","0","0.00",,,,,,,"5525","11.22"
"034120","SBS","29250","-1400","-4.57","8623","3.39","4290","6.82","46405","0.63","1000","3.42"
"005090","SGC에너지","27300","550","2.06","8093","3.37","5937","4.60","48174","0.57","1700","6.23"
"001380","SG글로벌","1546","11","0.72",,,,,"2695","0.57","0","0.00"
"004060","SG세계물산","452","4","0.89","9","50.22",,,"1234","0.37","0","0.00"
"001770","SHD","21150","250","1.20","8905","2.38",,,"42355","0.50","100","0.47"
"002360","SH에너지화학","641","6","0.94","17","37.71",,,"856","0.75","10","1.56"
"009160","SIMPAC","3930","-25","-0.63","1381","2.85",,,"11050","0.36","200","5.09"
"123700","SJM","3635","20","0.55","316","11.50",,,"11352","0.32","100","2.75"
"025530","SJM홀딩스","3725","25","0.68","127","29.33",,,"11073","0.34","150","4.03"
"034730","SK","178000","1800","1.02","19547","9.11","24807","7.18","387441","0.46","5000","2.81"
"011790","SKC","90600","1000","1.12",,,"354","256.19","50774","1.78","1100","1.21"
"018670","SK가스","148000","-1400","-0.94","28644","5.17","26081","5.67","260823","0.57","6500","4.39"
"001740","SK네트웍스","5750","120","2.13","395","14.56","346","16.60","10307","0.56","120","2.09"
"006120","SK디스커버리","39200","300","0.77","21631","1.81",,,"142686","0.27","1700","4.34"
"006125","SK디스커버리우","30600","200","0.66",,,,,,,"1750","5.72"
"210980","SK디앤디","29500","-1300","-4.22","3084","9.57","2735","10.79","28817","1.02","800","2.71"
"068400","SK렌터카","10280","-120","-1.15","457","22.49",,,"11371","0.90","150","1.46"
"302440","SK바이오사이언스","72000","900","1.27","1596","45.11",,,"22683","3.17","0","0.00"
"326030","SK바이오팜","100400","2400","2.45",,,"520","192.90","4042","24.84","0","0.00"
"402340","SK스퀘어","52600","2100","4.16","1837","28.63","3965","13.27","118972","0.44","0","0.00"
"361610","SK아이이테크놀로지","78900","200","0.25",,,"1135","69.50","30501","2.59","0","0.00"
"100090","SK오션플랜트","19770","900","4.77","524","37.73","1110","17.81","9783","2.02","0","0.00"
"03473K","SK우","140800","100","0.07",,,,,,,"5050","3.59"
"096770","SK이노베이션","140300","1200","0.86","18214","7.70","17864","7.85","226241","0.62","5840","4.16"
"096775","SK이노베이션우","91400","500","0.55",,,,,,,"5890","6.44"
"001510","SK증권","641","10","1.58","23","27.87",,,"1511","0.42","5","0.78"
"001515","SK증권우","2420","95","4.09",,,,,,,"10","0.41"
"285130","SK케미칼","67300","700","1.05","9910","6.79","1497","44.95","111864","0.60","1500","2.23"
"28513K","SK케미칼우","30300","300","1.00",,,,,,,"1550","5.12"
"017670","SK텔레콤","50100","850","1.73","4118","12.17","5151","9.73","51911","0.97","3320","6.63"
"000660","SK하이닉스","141500","1100","0.78","3242","43.65","7821","18.09","92004","1.54","1200","0.85"
"003570","SNT다이내믹스","14400","50","0.35","1027","14.02","1495","9.63","29430","0.49","500","3.47"
"064960","SNT모티브","43200","750","1.77","6470","6.68","7146","6.05","66442","0.65","1600","3.70"
"100840","SNT에너지","22000","350","1.62","2292","9.60",,,"38778","0.57","800","3.64"
"036530","SNT홀딩스","17290","230","1.35","3556","4.86","5704","3.03","68239","0.25","700","4.05"
"005610","SPC삼립","62600","300","0.48","6568","9.53","8431","7.43","48007","1.30","1700","2.72"
"011810","STX","12670","150","1.20",,,,,"1647","7.69","0","0.00"
"465770","STX그린로지스","12330","30","0.24",,,,,,,"0","0.00"
"077970","STX엔진","11850","60","0.51",,,,,"9413","1.26","0","0.00"
"071970","STX중공업","11700","690","6.27","498","23.49","953","12.28","6770","1.73","0","0.00"
"002820","SUN&L","2495","15","0.60",,,,,"12936","0.19","0","0.00"
"084870","TBH글로벌","1773","-1","-0.06","236","7.51",,,"2886","0.61","0","0.00"
"002710","TCC스틸","58800","800","1.38","1239","47.46",,,"8127","7.24","120","0.20"
"069260","TKG휴켐스","21500","150","0.70","2132","10.08","2743","7.84","19290","1.11","1000","4.65"
"002900","TYM","5520","50","0.91","2262","2.44",,,"7778","0.71","300","5.43"
"024070","WISCOM","2595","5","0.19",,,,,"7345","0.35","50","1.93"
"037270","YG PLUS","4380","45","1.04","183","23.93","355","12.35","2248","1.95","0","0.00"
"000500","가온전선","21200","400","1.92","2350","9.02",,,"47277","0.45","50","0.24"
"000860","강남제비스코","20750","250","1.22","952","21.80",,,"92542","0.22","500","2.41"
"035250","강원랜드","16000","130","0.82","570","28.07","1224","13.07","16846","0.95","350","2.19"
"011420","갤럭시아에스엠","2635","100","3.94","167","15.78",,,"1210","2.18","0","0.00"
"002100","경농","10170","50","0.49","1503","6.77",,,"12997","0.78","400","3.93"
"009450","경동나비엔","47200","700","1.51","3707","12.73",,,"35820","1.32","500","1.06"
"267290","경동도시가스","19450","-10","-0.05","4105","4.74",,,"67007","0.29","875","4.50"
"012320","경동인베스트","67700","-100","-0.15","6519","10.39",,,"205405","0.33","750","1.11"
"000050","경방","8840","20","0.23","177","49.94",,,"30304","0.29","125","1.41"
"214390","경보제약","8390","60","0.72","26","322.69",,,"6011","1.40","50","0.60"
"012610","경인양행","3850","90","2.39","345","11.16",,,"5831","0.66","50","1.30"
"009140","경인전자","21300","100","0.47","2080","10.24",,,"49149","0.43","350","1.64"
"013580","계룡건설","14450","190","1.33","6828","2.12","7272","1.99","84371","0.17","500","3.46"
"012200","계양전기","1855","28","1.53",,,,,"3762","0.49","25","1.35"
"012205","계양전기우","4035","-65","-1.59",,,,,,,"30","0.74"
"002140","고려산업","3140","10","0.32","28","112.14",,,"4286","0.73","25","0.80"
"010130","고려아연","498000","2500","0.50","42967","11.59","28796","17.29","455251","1.09","20000","4.02"
"002240","고려제강","20300","320","1.60","3242","6.26",,,"64024","0.32","300","1.48"
"009290","광동제약","7430","60","0.81","588","12.64",,,"12593","0.59","100","1.35"
"017040","광명전기","2360","20","0.85","124","19.03",,,"2621","0.90","10","0.42"
"017900","광전자","2090","10","0.48","275","7.60",,,"4514","0.46","50","2.39"
"037710","광주신세계","30050","-250","-0.83","7157","4.20",,,"99270","0.30","2200","7.32"
"030610","교보증권","4950","-5","-0.10","681","7.27",,,"24572","0.20","200","4.04"
"339770","교촌에프앤비","7430","30","0.41","214","34.72","837","8.88","7157","1.04","200","2.69"
"007690","국도화학","40950","650","1.61","8626","4.75","6359","6.44","99565","0.41","1400","3.42"
"005320","국동","779","19","2.50","25","31.16",,,"1827","0.43","0","0.00"
"001140","국보","2015","-20","-0.98",,,,,"4100","0.49","0","0.00"
"002720","국제약품","5920","60","1.02","176","33.64",,,"3666","1.61","0","0.00"
"083420","그린케미칼","6720","10","0.15","123","54.63",,,"5251","1.28","230","3.42"
"014530","극동유화","4340","55","1.28","593","7.32",,,"5808","0.75","200","4.61"
"014280","금강공업","5680","30","0.53","1933","2.94",,,"13368","0.42","120","2.11"
"014285","금강공업우","9380","10","0.11",,,,,,,"130","1.39"
"008870","금비","71300","3400","5.01",,,,,"106871","0.67","1300","1.82"
"001570","금양","109200","-6700","-5.78",,,,,"2188","49.91","0","0.00"
"002990","금호건설","5190","-70","-1.33","587","8.84","470","11.03","15028","0.35","500","9.63"
"002995","금호건설우","16440","-80","-0.48",,,,,,,"550","3.35"
"011780","금호석유","132900","2000","1.53","37290","3.56","15223","8.73","208647","0.64","5400","4.06"
"011785","금호석유우","61400","-300","-0.49",,,,,,,"5450","8.88"
"214330","금호에이치티","640","7","1.11",,,,,"1749","0.37","0","0.00"
"001210","금호전기","830","5","0.61",,,,,"890","0.93","0","0.00"
"073240","금호타이어","5390","20","0.37",,,"522","10.32","3920","1.38","0","0.00"
"092440","기신정기","3065","0","0.00","150","20.43",,,"8601","0.36","150","4.89"
"000270","기아","100000","3000","3.09","13495","7.41","22977","4.35","98117","1.02","3500","3.50"
"024110","기업은행","11860","120","1.02","3320","3.57","3652","3.25","36302","0.33","960","8.09"
"013700","까뮤이앤씨","1670","50","3.09",,,,,"1753","0.95","20","1.20"
"004540","깨끗한나라","2425","0","0.00",,,,,"6419","0.38","0","0.00"
"004545","깨끗한나라우","13710","120","0.88",,,,,,,"0","0.00"
"001260","남광토건","7660","40","0.52","1969","3.89",,,"10896","0.70","0","0.00"
"008350","남선알미늄","2355","55","2.39","238","9.89",,,"2370","0.99","0","0.00"
"008355","남선알미우","36650","3850","11.74",,,,,,,"0","0.00"
"004270","남성","2230","10","0.45","102","21.86",,,"3821","0.58","25","1.12"
"003920","남양유업","607000","17000","2.88",,,,,"866808","0.70","1000","0.16"
"003925","남양유업우","335000","12000","3.72",,,,,,,"1050","0.31"
"025860","남해화학","7400","60","0.82","986","7.51",,,"10670","0.69","100","1.35"
"005720","넥센","4165","10","0.24","317","13.14",,,"20883","0.20","110","2.64"
"005725","넥센우","2890","-10","-0.34",,,,,,,"115","3.98"
"002350","넥센타이어","8040","80","1.01",,,"1799","4.47","15474","0.52","100","1.24"
"002355","넥센타이어1우B","3145","25","0.80",,,,,,,"105","3.34"
"092790","넥스틸","7160","-70","-0.97","8850","0.81",,,"259899","0.03","0","0.00"
"251270","넷마블","58100","500","0.87",,,"298","195.12","66649","0.87","0","0.00"
"090350","노루페인트","9250","50","0.54","564","16.40",,,"17235","0.54","275","2.97"
"090355","노루페인트우","17650","120","0.68",,,,,,,"280","1.59"
"000320","노루홀딩스","11460","10","0.09","2391","4.79","1330","8.62","37585","0.30","500","4.36"
"000325","노루홀딩스우","38000","650","1.74",,,,,,,"505","1.33"
"006280","녹십자","125500","1700","1.37","5735","21.88","2596","48.34","116367","1.08","1750","1.39"
"005250","녹십자홀딩스","16350","500","3.15","727","22.49",,,"22857","0.72","300","1.83"
"005257","녹십자홀딩스2우","31200","250","0.81",,,,,,,"300","0.96"
"004370","농심","407000","0","0.00","20081","20.27","33027","12.32","398464","1.02","5000","1.23"
"072710","농심홀딩스","64800","100","0.15","7353","8.81",,,"231914","0.28","2500","3.86"
"058730","다스코","4250","10","0.24","88","48.30",,,"7408","0.57","0","0.00"
"030210","다올투자증권","3900","-10","-0.26","1019","3.83",,,"9765","0.40","150","3.85"
"023590","다우기술","17890","130","0.73","8634","2.07",,,"53655","0.33","600","3.35"
"145210","다이나믹디자인","5600","500","9.80",,,,,"3499","1.60","0","0.00"
"019680","대교","2590","170","7.02",,,,,"4829","0.54","30","1.16"
"019685","대교우B","1529","56","3.80",,,,,,,"45","2.94"
"006370","대구백화점","9070","-180","-1.95",,,,,"27795","0.33","50","0.55"
"008060","대덕","6390","40","0.63","549","11.64",,,"17272","0.37","400","6.26"
"00806K","대덕1우","7860","-90","-1.13",,,,,,,"405","5.15"
"353200","대덕전자","27050","-200","-0.73","3570","7.58","1807","14.97","16598","1.63","400","1.48"
"35320K","대덕전자1우","10150","-20","-0.20",,,,,,,"405","3.99"
"000490","대동","17020","90","0.53","1812","9.39","2605","6.53","14922","1.14","100","0.59"
"008110","대동전자","6880","160","2.38","1122","6.13",,,"26394","0.26","0","0.00"
"005750","대림B&Co","3645","-30","-0.82",,,,,"9514","0.38","110","3.02"
"006570","대림통상","2975","25","0.85","252","11.81",,,"5308","0.56","30","1.01"
"001680","대상","20750","350","1.72","2306","9.00","2878","7.21","36185","0.57","800","3.86"
"001685","대상우","26350","6050","29.80",,,,,,,"810","3.07"
"084690","대상홀딩스","13330","2050","18.17","868","15.36",,,"19815","0.67","270","2.03"
"084695","대상홀딩스우","37550","8650","29.93",,,,,,,"280","0.75"
"128820","대성산업","3580","55","1.56",,,,,"16329","0.22","0","0.00"
"117580","대성에너지","8120","240","3.05",,,,,"11539","0.70","250","3.08"
"016710","대성홀딩스","10030","160","1.62","225","44.58",,,"29781","0.34","250","2.49"
"003540","대신증권","14300","-20","-0.14","1750","8.17","2184","6.55","40616","0.35","1200","8.39"
"003547","대신증권2우B","13000","10","0.08",,,,,,,"1200","9.23"
"003545","대신증권우","13630","-20","-0.15",,,,,,,"1250","9.17"
"009190","대양금속","1121","13","1.17","252","4.45",,,"2426","0.46","0","0.00"
"014160","대영포장","1136","9","0.80","134","8.48",,,"1753","0.65","0","0.00"
"047040","대우건설","4145","0","0.00","1227","3.38","1275","3.25","9040","0.46","0","0.00"
"009320","대우부품","1340","21","1.59",,,,,"539","2.49","0","0.00"
"003090","대웅","20650","500","2.48","2467","8.37","3443","6.00","19933","1.04","100","0.48"
"069620","대웅제약","116800","800","0.69","3816","30.61","7736","15.10","54929","2.13","600","0.51"
"000430","대원강업","5440","90","1.68","304","17.89","819","6.64","7802","0.70","100","1.84"
"006340","대원전선","1157","15","1.31","18","64.28",,,"1228","0.94","0","0.00"
"006345","대원전선우","2530","-15","-0.59",,,,,,,"0","0.00"
"003220","대원제약","15660","380","2.49","1510","10.37","1427","10.97","11967","1.31","350","2.23"
"024890","대원화성","1985","10","0.51",,,,,"1532","1.30","0","0.00"
"002880","대유에이텍","1202","-53","-4.22",,,,,"2826","0.43","0","0.00"
"000300","대유플러스","165","-1","-0.60",,,,,"503","0.33","0","0.00"
"012800","대창","1266","16","1.28","48","26.38",,,"3225","0.39","0","0.00"
"015230","대창단조","6100","60","0.99","1417","4.30",,,"9161","0.67","200","3.28"
"001070","대한방직","8140","160","2.01",,,,,"37439","0.22","0","0.00"
"006650","대한유화","153000","500","0.33",,,"10277","14.89","301477","0.51","1000","0.65"
"001440","대한전선","10080","260","2.65","180","56.00",,,"7000","1.44","0","0.00"
"084010","대한제강","12920","50","0.39","6605","1.96","3413","3.79","38135","0.34","780","6.04"
"001790","대한제당","3180","30","0.95","276","11.52",,,"5589","0.57","120","3.77"
"001795","대한제당우","3035","100","3.41",,,,,,,"125","4.12"
"001130","대한제분","127800","-1200","-0.93","24697","5.17",,,"558185","0.23","2500","1.96"
"003490","대한항공","23900","450","1.92","4787","4.99","3117","7.67","24353","0.98","750","3.14"
"003495","대한항공우","24850","-50","-0.20",,,,,,,"800","3.22"
"005880","대한해운","2155","50","2.38","507","4.25","337","6.39","4912","0.44","0","0.00"
"003830","대한화섬","105700","600","0.57","29768","3.55",,,"635611","0.17","750","0.71"
"016090","대현","2010","5","0.25","574","3.50",,,"5480","0.37","110","5.47"
"069460","대호에이엘","1267","-3","-0.24","114","11.11",,,"1456","0.87","0","0.00"
"192080","더블유게임즈","47550","-800","-1.65",,,"8530","5.57","43874","1.08","600","1.26"
"012510","더존비즈온","28950","-200","-0.69","676","42.83","1220","23.73","14728","1.97","123","0.42"
"004830","덕성","7860","550","7.52","157","50.06",,,"5340","1.47","45","0.57"
